date,rating,content,cleaned_review,day_of_week,tf_idf_mean_score,lexicon_score,lexicon_sentiment,matched_word_count
2026-07-25,2.5,좋은 사람들이 뭉쳐서 만든 영화라는게 느껴져서 좋다.,좋 사람 뭉치 만들 영화 느끼 지 좋,Saturday,0.1383450524050975,0.0,중립,0
2026-07-24,3.0,이게 천육백만?,이것 천 육 백 만,Friday,0.0,0.0,중립,0
2026-07-24,3.5,좋은영화지만. 명작은아님,좋 영화 명작 아니,Friday,0.1385899703304592,0.0,중립,0
2026-07-23,3.5,"박지훈, 유해진이 멱살 잡고 끌어올렸다. 이게 1600만이라는 건 놀랍지만, 그래도 둘의 연기는 정말 미쳤다.",박지훈 유해진 멱살 잡 끌어올리 이것 만 놀랍 그래도 둘 연기 미치,Thursday,0.1404769626093076,0.0,중립,0
2026-07-22,3.5,"천만 영화의 명성에 과한감이 없지 않지만, 천만 영화의 가슴속 전해지는 울림에는 과한감이 없다.",천만 영화 명성 과하 감 없 않 천만 영화 가슴속 전하 지 울림 과하 감 없,Wednesday,0.1,2.0,긍정,1
2026-07-22,2.5,"배우들의 연기에 지나치게 기대며, 서사의 빈틈을 메우려 한다.",배우 연기 지나치 기대 서사 빈틈 메우 하,Wednesday,0.141311923758918,1.0,긍정,1
2026-07-22,4.0,"단종애사를 읽었던 적이 있다 
어린 왕의 가슴아픔이 과함이 없이 담백하게 배우들의 명연기로 그 빛을 발한다",단종애사 읽 적 있 어리 왕 가슴 아픔 과하 없이 담백 배우 명 연기 빛 발하,Wednesday,0.141311923758918,-1.0,부정,2
2026-07-22,1.0,이게 광해랑 비교되다니..광해한테 아주 큰 실례임,이것 광해 비교 광해 아주 크 실례,Wednesday,0.0,0.0,중립,0
2026-07-21,5.0,꼭 봐야 하는 영화,꼭 보 하 영화,Tuesday,0.1,0.0,중립,0
2026-07-19,5.0,평점 왜이럼?,평점 왜 이러,Sunday,0.0,0.0,중립,0
2026-07-17,4.0,내용적으로는 무난하고 뛰어나다 할 순 없지만 배우들의 힘이나 작품의 분위기가 이 극을 이끌어 가는거 같다,내용 무난 뛰어나 하 없 배우 힘 작품 분위기 극 이끌 같,Friday,0.1,2.0,긍정,1
2026-07-15,3.5,유해진의 연기만 보였다.,유해진 연기 보이,Wednesday,0.1404769626093076,0.0,중립,0
2026-07-13,2.0,장항준 감독은 도대체 무슨 운이 좋아 이런 평을 받는 걸까.,장항준 감독 도대체 무슨 운 좋 이런 평 받,Monday,0.0,1.0,긍정,1
2026-07-11,4.0,"OTT 공개 전 궁금했던 호랑이와 천만 관객 흥행작이라 기대하고 봤어요. 박지훈 배우의 연기는 좋았지만, 개인적으로는 다른 작품들이 더 인상 깊었습니다.",공개 전 궁금 호랑이 천만 관객 흥행작 기대 보 박지훈 배우 연기 좋 개인 다른 작품 인상 깊,Saturday,0.141311923758918,3.0,긍정,2
2026-07-11,3.5,연기 덕에 산 연출,연기 덕 살 연출,Saturday,0.1402197303686017,2.0,긍정,1
2026-07-08,3.5,볼만했음 깔끔하고,보 만 깔끔,Wednesday,0.0,0.0,중립,0
2026-07-08,3.5,낙화유수가 있기에 백화요란이 더욱 찬란한 법. 이토록 아린 애사(哀史)는 올바른 역사를 다시 거두어들인다.,낙화유수 있 백화 요란 더욱 찬란 법 이토록 아리 애사 올바르 역사 다시 거두어들이,Wednesday,0.1,0.0,중립,0
2026-07-06,3.0,"스포를 알고 보는 영화지만
마지막까지 긴장을 끊을 수 없었다.
천만영화 반열에 오를만한 가치가 있냐고 묻는다면
개봉 전 다른 영화들이 삽질해서 빛을 본 영화라고밖에.",스포 알 보 영화 마지막 긴장 끊 없 천만 영화 반열 오르 만 가치 있 묻 개봉 전 다른 영화 삽 빛 보 영화,Monday,0.1,1.0,긍정,3
2026-07-05,4.0,네이노노노노노노옴,노 노 노 노 노 노옴,Sunday,0.0,0.0,중립,0
2026-07-03,5.0,유해진이 와 99프로가 유해진이 다했다,유해진 오 프로 유해진 다 하,Friday,0.1,0.0,중립,0
